borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,IDW,0.8035,593.422,236.631
Barking and Dagenham,364,MLR,0.7041,530.668,207.364
Barking and Dagenham,364,RF,0.6875,524.867,202.454
Barking and Dagenham,364,XGBoost,0.6665,514.577,196.267
Barking and Dagenham,364,MLP,0.6765,526.674,199.233
Barking and Dagenham,364,GATv2,0.7317,560.571,215.465
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,IDW,0.8581,374.974,183.529
Barnet,993,MLR,0.689,343.416,147.363
Barnet,993,RF,0.6554,300.257,140.167
Barnet,993,XGBoost,0.677,306.378,144.798
Barnet,993,MLP,0.6849,308.953,146.479
Barnet,993,GATv2,0.7575,350.169,162.014
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,IDW,0.8559,366.586,129.506
Bexley,672,MLR,0.6937,305.612,104.962
Bexley,672,RF,0.6966,324.982,105.395
Bexley,672,XGBoost,0.6834,302.524,103.408
Bexley,672,MLP,0.6921,313.912,104.717
Bexley,672,GATv2,0.7834,353.198,118.532
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,IDW,0.8563,569.887,325.602
Brent,575,MLR,0.6239,472.803,237.226
Brent,575,RF,0.6357,482.824,241.711
Brent,575,XGBoost,0.6455,488.577,245.418
Brent,575,MLP,0.6119,464.506,232.653
Brent,575,GATv2,0.7316,549.309,278.169
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,IDW,0.9483,231.824,96.441
Bromley,1179,MLR,0.6874,175.929,69.901
Bromley,1179,RF,0.6583,185.197,66.944
Bromley,1179,XGBoost,0.6571,176.31,66.825
Bromley,1179,MLP,0.6692,171.566,68.054
Bromley,1179,GATv2,0.7482,192.921,76.085
Camden,424,HistAvg,0.8666,609.429,349.975
Camden,424,IDW,0.8385,572.753,338.626
Camden,424,MLR,0.5189,441.136,209.559
Camden,424,RF,0.5289,448.375,213.601
Camden,424,XGBoost,0.5291,442.136,213.682
Camden,424,MLP,0.5149,439.644,207.914
Camden,424,GATv2,0.6371,499.973,257.3
City of London,101,HistAvg,0.798,914.764,520.033
City of London,101,IDW,0.8708,984.356,567.474
City of London,101,MLR,0.5793,655.377,377.494
City of London,101,RF,0.5557,695.641,362.158
City of London,101,XGBoost,0.5635,608.628,367.214
City of London,101,MLP,0.5756,637.991,375.082
City of London,101,GATv2,0.6539,731.726,426.136
