borough,STOPCODE,alpha
Barking and Dagenham,1029,0.5363088
Barking and Dagenham,1216,0.574807
Barking and Dagenham,1217,0.5822238
Barking and Dagenham,14100,0.5884635
Barking and Dagenham,14119,0.44981453
Barking and Dagenham,14677,0.36626035
Barking and Dagenham,14693,0.4939473
Barking and Dagenham,14694,0.4627454
Barking and Dagenham,14718,0.46709314
Barking and Dagenham,14951,0.6214717
Barking and Dagenham,14952,0.5756503
Barking and Dagenham,14953,0.5897157
Barking and Dagenham,14954,0.5823141
Barking and Dagenham,15003,0.5379684
Barking and Dagenham,15004,0.5345671
Barking and Dagenham,15445,0.54644984
Barking and Dagenham,15447,0.5124148
Barking and Dagenham,15448,0.50189924
Barking and Dagenham,15449,0.51211035
Barking and Dagenham,15450,0.4868321
Barking and Dagenham,15451,0.49946472
Barking and Dagenham,15452,0.5644255
Barking and Dagenham,15453,0.5957893
Barking and Dagenham,15454,0.61743015
Barking and Dagenham,15455,0.61127084
Barking and Dagenham,15456,0.65971756
Barking and Dagenham,15457,0.6470358
Barking and Dagenham,15458,0.560818
Barking and Dagenham,15459,0.5671358
Barking and Dagenham,15460,0.5447121
Barking and Dagenham,15461,0.5593423
Barking and Dagenham,15462,0.5264278
Barking and Dagenham,15463,0.5264125
Barking and Dagenham,15464,0.5457893
Barking and Dagenham,15465,0.5316793
Barking and Dagenham,15466,0.57886755
Barking and Dagenham,15467,0.579206
Barking and Dagenham,15468,0.435292
Barking and Dagenham,15469,0.47197536
Barking and Dagenham,15470,0.45125797
Barking and Dagenham,15477,0.5627346
Barking and Dagenham,15478,0.58569515
Barking and Dagenham,15479,0.6495758
Barking and Dagenham,15480,0.6504396
Barking and Dagenham,15481,0.4617153
Barking and Dagenham,15482,0.44026998
Barking and Dagenham,15504,0.42639038
Barking and Dagenham,15505,0.5023749
Barking and Dagenham,15506,0.51796263
Barking and Dagenham,15508,0.59854925
Barking and Dagenham,15513,0.58704364
Barking and Dagenham,15514,0.57763904
Barking and Dagenham,15515,0.59393847
Barking and Dagenham,15517,0.5681061
Barking and Dagenham,15518,0.52642447
Barking and Dagenham,15519,0.5600384
Barking and Dagenham,15520,0.5627751
Barking and Dagenham,15522,0.5340239
Barking and Dagenham,15586,0.48610297
Barking and Dagenham,16480,0.6268482
Barking and Dagenham,16481,0.5163142
Barking and Dagenham,16484,0.4182033
Barking and Dagenham,16485,0.48559612
Barking and Dagenham,1676,0.47091222
Barking and Dagenham,1677,0.4705023
Barking and Dagenham,16970,0.45592886
Barking and Dagenham,1709,0.42233846
Barking and Dagenham,1710,0.45249644
Barking and Dagenham,1711,0.41528872
Barking and Dagenham,18025,0.4254828
Barking and Dagenham,18026,0.40755093
Barking and Dagenham,18296,0.56853294
Barking and Dagenham,18297,0.5742297
Barking and Dagenham,18298,0.4735231
Barking and Dagenham,18299,0.47109312
