borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,MLR,0.7043,534.701,207.417
Barking and Dagenham,364,RF,0.6935,518.838,204.243
Barking and Dagenham,364,XGBoost,0.6706,504.096,197.476
Barking and Dagenham,364,MLP,0.6811,524.479,200.563
Barking and Dagenham,364,GATv2,0.7229,560.407,212.881
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,MLR,0.6935,348.166,148.322
Barnet,993,RF,0.6598,309.932,141.12
Barnet,993,XGBoost,0.6577,301.16,140.667
Barnet,993,MLP,0.6734,309.83,144.021
Barnet,993,GATv2,0.7159,322.361,153.1
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,MLR,0.6933,305.878,104.9
Bexley,672,RF,0.6847,324.38,103.606
Bexley,672,XGBoost,0.6921,301.404,104.715
Bexley,672,MLP,0.6839,304.498,103.475
Bexley,672,GATv2,0.7606,343.481,115.089
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,MLR,0.6306,475.734,239.761
Brent,575,RF,0.652,492.364,247.922
Brent,575,XGBoost,0.642,479.007,244.099
Brent,575,MLP,0.6221,466.001,236.535
Brent,575,GATv2,0.6898,513.731,262.258
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,MLR,0.6641,169.238,67.537
Bromley,1179,RF,0.6545,185.347,66.561
Bromley,1179,XGBoost,0.6504,173.117,66.142
Bromley,1179,MLP,0.6595,163.302,67.068
Bromley,1179,GATv2,0.7112,181.807,72.324
Camden,424,HistAvg,0.8666,609.429,349.975
Camden,424,MLR,0.5214,446.19,210.558
Camden,424,RF,0.523,449.668,211.207
Camden,424,XGBoost,0.539,460.715,217.675
Camden,424,MLP,0.5026,419.062,202.953
Camden,424,GATv2,0.658,510.298,265.717
City of London,101,HistAvg,0.798,914.764,520.033
City of London,101,MLR,0.5655,708.56,368.551
City of London,101,RF,0.5729,731.442,373.354
City of London,101,XGBoost,0.5667,703.402,369.289
City of London,101,MLP,0.5702,658.32,371.594
City of London,101,GATv2,0.7855,946.188,511.913
Croydon,1019,HistAvg,1.5477,343.611,254.841
Croydon,1019,MLR,0.6755,274.015,111.225
Croydon,1019,RF,0.6783,278.265,111.688
Croydon,1019,XGBoost,0.6603,264.784,108.717
Croydon,1019,MLP,0.6678,271.155,109.957
Croydon,1019,GATv2,0.7071,284.764,116.437
Ealing,683,HistAvg,0.9636,570.286,318.126
Ealing,683,MLR,0.6504,470.834,214.746
Ealing,683,RF,0.6688,502.064,220.826
Ealing,683,XGBoost,0.6339,466.953,209.298
Ealing,683,MLP,0.6386,463.697,210.841
Ealing,683,GATv2,0.7648,569.512,252.515
Enfield,707,HistAvg,1.1452,433.336,276.391
Enfield,707,MLR,0.6777,363.783,163.561
Enfield,707,RF,0.7019,394.193,169.399
Enfield,707,XGBoost,0.7009,394.895,169.168
Enfield,707,MLP,0.6669,359.644,160.957
Enfield,707,GATv2,0.7814,428.456,188.593
Greenwich,659,HistAvg,0.9994,596.257,285.229
Greenwich,659,MLR,0.6641,515.151,189.529
Greenwich,659,RF,0.656,538.087,187.228
Greenwich,659,XGBoost,0.6363,526.515,181.603
Greenwich,659,MLP,0.6558,510.533,187.158
Greenwich,659,GATv2,0.7265,547.373,207.331
Hackney,442,HistAvg,0.8267,512.63,325.701
Hackney,442,MLR,0.4995,366.237,196.81
Hackney,442,RF,0.5326,391.617,209.832
Hackney,442,XGBoost,0.5063,361.219,199.469
Hackney,442,MLP,0.4931,357.909,194.254
Hackney,442,GATv2,0.6877,479.758,270.956
Hammersmith and Fulham,276,HistAvg,0.7878,748.498,373.545
Hammersmith and Fulham,276,MLR,0.6967,659.552,330.33
Hammersmith and Fulham,276,RF,0.673,677.794,319.098
Hammersmith and Fulham,276,XGBoost,0.6941,673.634,329.077
Hammersmith and Fulham,276,MLP,0.6872,646.16,325.807
Hammersmith and Fulham,276,GATv2,0.6958,690.919,329.884
Haringey,461,HistAvg,0.8402,761.461,380.81
Haringey,461,MLR,0.6572,625.971,297.864
Haringey,461,RF,0.6623,678.695,300.208
Haringey,461,XGBoost,0.6837,689.043,309.917
Haringey,461,MLP,0.6346,619.24,287.619
Haringey,461,GATv2,0.6904,679.712,312.911
Harrow,432,HistAvg,1.0881,369.502,256.035
Harrow,432,MLR,0.634,296.505,149.177
Harrow,432,RF,0.6324,300.483,148.808
Harrow,432,XGBoost,0.6014,280.506,141.514
Harrow,432,MLP,0.6201,283.054,145.909
Harrow,432,GATv2,0.7511,359.967,176.747
