borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,IDW,0.8035,593.422,236.631
Barking and Dagenham,364,MLR,0.7074,534.294,208.308
Barking and Dagenham,364,RF,0.691,508.373,203.479
Barking and Dagenham,364,XGBoost,0.68,507.053,200.241
Barking and Dagenham,364,MLP,0.6839,524.325,201.406
Barking and Dagenham,364,GATv2,0.7504,567.365,220.972
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,IDW,0.8581,374.974,183.529
Barnet,993,MLR,0.6946,349.682,148.557
Barnet,993,RF,0.6573,311.217,140.571
Barnet,993,XGBoost,0.6507,304.37,139.164
Barnet,993,MLP,0.6657,305.562,142.362
Barnet,993,GATv2,0.7109,321.028,152.042
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,IDW,0.8559,366.586,129.506
Bexley,672,MLR,0.6929,303.615,104.839
Bexley,672,RF,0.6774,317.882,102.502
Bexley,672,XGBoost,0.7033,311.709,106.412
Bexley,672,MLP,0.6836,302.266,103.437
Bexley,672,GATv2,0.7674,347.732,116.11
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,IDW,0.8563,569.887,325.602
Brent,575,MLR,0.6315,475.876,240.126
Brent,575,RF,0.6479,490.219,246.355
Brent,575,XGBoost,0.631,475.491,239.921
Brent,575,MLP,0.6234,465.632,237.043
Brent,575,GATv2,0.6825,509.698,259.515
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,IDW,0.9483,231.824,96.441
Bromley,1179,MLR,0.6662,170.395,67.747
Bromley,1179,RF,0.6499,176.253,66.096
Bromley,1179,XGBoost,0.6706,184.045,68.195
Bromley,1179,MLP,0.6528,166.236,66.391
Bromley,1179,GATv2,0.7542,208.174,76.698
Camden,424,HistAvg,0.8666,609.429,349.975
Camden,424,IDW,0.8385,572.753,338.626
Camden,424,MLR,0.5221,445.164,210.826
Camden,424,RF,0.528,458.421,213.206
Camden,424,XGBoost,0.5311,432.88,214.478
Camden,424,MLP,0.4993,420.925,201.632
Camden,424,GATv2,0.6197,486.191,250.266
City of London,101,HistAvg,0.798,914.764,520.033
City of London,101,IDW,0.8708,984.356,567.474
City of London,101,MLR,0.5672,705.438,369.612
City of London,101,RF,0.5715,726.155,372.454
City of London,101,XGBoost,0.5463,635.827,356.034
City of London,101,MLP,0.5725,653.751,373.074
City of London,101,GATv2,0.7287,890.069,474.85
